"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Mycena galopus","Mycena galopus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
"Mycena inclinata","Mycena inclinata","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
"Mycena pelianthina","Mycena pelianthina","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
"Mycena rosea","Mycena rosea","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena"
"Naevala minutissima","Naevala perexigua","Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Naevala"
"Panellus stipticus","Panellus stipticus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Panellus"
"Paraphaeosphaeria sporulosa","Paraphaeosphaeria sporulosa","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria"
"Penicillium adametzii","Penicillium adametzii","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"Penicillium brevicompactum","Penicillium brevicompactum","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"Peziza arvernensis","Peziza arvernensis","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza"
"Phaeoacremonium croatiense","Phaeoacremonium croatiense","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium"
"Phialocephala sp",NA,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala"
"Pholiota lenta","Pholiota lenta","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota"
"Phoma sp",NA,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma"
"Plectosphaerella cucumerina","Plectosphaerella cucumerina","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella"
"Plicaturopsis faginea",NA,"Fungi","Basidiomycota","Agaricomycetes","Amylocorticiales","Amylocorticiaceae","Plicaturopsis"
"Pluteus cervinus","Pluteus cervinus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus"
"Pluteus salicinus","Pluteus salicinus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus"
"Pluteus thomsonii","Pluteus thomsonii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus"
"Polyporus leptocephalus","Cerioporus leptocephalus","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Cerioporus"
"Psathyrella candolleana","Candolleomyces candolleanus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Candolleomyces"
"Pseudoclitocybe cyathiformis","Pseudoclitocybe cyathiformis","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pseudoclitocybaceae","Pseudoclitocybe"
