"","Phylum","Class","Order","Family","Genus","Species","MockStrain","Kingdom","ITS1","Si5"
"55","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus","Craterellus_sinuosus","Craterellus_sinuosus_M161_sanger","Fungi","Craterellus_sinuosus_M161_sangerITS1","Craterellus_sinuosus_M161_sangerITS1Si5"
"56","Basidiomycota","Agaricomycetes","Agaricales","Crepidotaceae","Crepidotus","Crepidotus_cesatii","Crepidotus_cesatii_M214_JN905812_1_rm_sanger","Fungi","Crepidotus_cesatii_M214_JN905812_1_rm_sangerITS1",NA
"57","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus_cistialbidi","Cryptococcus_cistialbidi_MB15_C_cist_sanger","Fungi","Cryptococcus_cistialbidi_MB15_C_cist_sangerITS1","Cryptococcus_cistialbidi_MB15_C_cist_sangerITS1Si5"
"58","Basidiomycota","Agaricomycetes","Agaricales","Nidulariaceae","Cyathus","Cyathus_striatus","Cyathus_striatus_M71_sanger","Fungi","Cyathus_striatus_M71_sangerITS1",NA
"59","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystolepiota","Cystolepiota_bucknallii","Cystolepiota_bucknallii_M90_JF907979_1_sanger","Fungi","Cystolepiota_bucknallii_M90_JF907979_1_sangerITS1","Cystolepiota_bucknallii_M90_JF907979_1_sangerITS1Si5"
"60","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Cystolepiota","Cystolepiota_seminuda","Cystolepiota_seminuda_M176_sanger","Fungi","Cystolepiota_seminuda_M176_sangerITS1","Cystolepiota_seminuda_M176_sangerITS1Si5"
"61","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Dermocybe","Dermocybe_olivaceopicta","Dermocybe_olivaceopicta_M109_sanger","Fungi","Dermocybe_olivaceopicta_M109_sangerITS1","Dermocybe_olivaceopicta_M109_sangerITS1Si5"
"62","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma_nidorosum","Entoloma_nidorosum_M124_HF675366_1_sanger","Fungi","Entoloma_nidorosum_M124_HF675366_1_sangerITS1",NA
"63","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma_placidum","Entoloma_placidum_M125_JQ666594_1_sanger","Fungi","Entoloma_placidum_M125_JQ666594_1_sangerITS1","Entoloma_placidum_M125_JQ666594_1_sangerITS1Si5"
"64","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe","Erysiphe_necator","Erysiphe_necator_MB15_E_nec1_sanger","Fungi","Erysiphe_necator_MB15_E_nec1_sangerITS1","Erysiphe_necator_MB15_E_nec1_sangerITS1Si5"
"65","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sambucinum","Fusarium__sambucinum_MIAE00301_sanger","Fungi","Fusarium__sambucinum_MIAE00301_sangerITS1","Fusarium__sambucinum_MIAE00301_sangerITS1Si5"
"66","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_acuminatum","Fusarium_acuminatum_MIAE00244_sanger","Fungi","Fusarium_avenaceum_MIAE00286_sangerITS1",NA
"67","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_avenaceum","Fusarium_avenaceum_MIAE00286_sanger","Fungi","Fusarium_avenaceum_MIAE00286_sangerITS1","Fusarium_avenaceum_MIAE00286_sangerITS1Si5"
"68","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_chlamydosporum","Fusarium_chlamydosporum_species_complex_MIAE00287_sanger","Fungi","Fusarium_chlamydosporum_species_complex_MIAE00287_sangerITS1","Fusarium_chlamydosporum_species_complex_MIAE00287_sangerITS1Si5"
"69","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_commune","Fusarium_commune_MIAE00101_sanger","Fungi","Fusarium_commune_MIAE00101_sangerITS1","Fusarium_commune_MIAE00101_sangerITS1Si5"
"70","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_culmorum","Fusarium_culmorum_MIAE00688_sanger","Fungi","Fusarium_culmorum_MIAE00688_sangerITS1","Fusarium_culmorum_MIAE00688_sangerITS1Si5"
"71","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_equiseti","Fusarium_equiseti_MIAE01649_NR_121457_1_sanger","Fungi","Fusarium_equiseti_MIAE01649_NR_121457_1_sangerITS1","Fusarium_equiseti_MIAE01649_NR_121457_1_sangerITS1Si5"
"72","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_fujikuroi","Fusarium_fujikuroi_species_complex_MIAE01800_sanger","Fungi","Fusarium_fujikuroi_species_complex_MIAE01800_sangerITS1","Fusarium_fujikuroi_species_complex_MIAE01800_sangerITS1Si5"
