"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Russula betularum","Russula betularum","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula integra","Russula integra","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula mustelina","Russula mustelina","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula fragilis","Russula fragilis","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula favrei","Russula favrei","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula vinosa","Russula vinosa","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula robertii","Russula robertii","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula violeipes","Russula violeipes","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula puellaris","Russula puellaris","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula torulosa","Russula torulosa","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula aeruginea","Russula aeruginea","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula intermedia","Russula intermedia","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula roseicolor","Russula roseicolor","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula parazurea","Russula parazurea","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula atrorubens","Russula atrorubens","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula cessans","Russula cessans","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula amethystina","Russula amethystina","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula odorata","Russula odorata","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula multiseptata",NA,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula laeta","Russula laeta","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula luteotacta","Russula luteotacta","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula cuprea","Russula cuprea","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula subterfurcata","Russula subterfurcata","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula faustiana","Russula faustiana","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula puellula","Russula puellula","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula carpini","Russula carpini","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula risigallina","Russula risigallina","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
"Russula emeticicolor","Russula emeticicolor","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula"
